additionalalerts,InfotelGLPI,additionalalerts
addressing,pluginsGLPI,addressing
archimap,ericferon,glpi-archimap
badges,InfotelGLPI,badges
barcode,pluginsGLPI,barcode
behaviors,yllen,behaviors
camerainput,cconard96,glpi-camerainput-plugin
costs,ticgal,costs
databases,InfotelGLPI,databases
dataflows,ericferon,glpi-dataflows
datainjection,pluginsGLPI,datainjection
father,Probesys,glpi-plugins-father
fields,pluginsGLPI,fields
financialreports,InfotelGLPI,financialreports
formcreator,pluginsGLPI,formcreator
formvalidation,tomolimo,formvalidation
fusioninventory,fusioninventory,fusioninventory-for-glpi
genericobject,pluginsGLPI,genericobject
impacts,tomolimo,impacts
karastock,karhel,glpi-karastock
ldapcomputers,akm77,ldapcomputers
manufacturersimports,InfotelGLPI,manufacturersimports
moreticket,InfotelGLPI,moreticket
mreporting,pluginsGLPI,mreporting
mydashboard,InfotelGLPI,mydashboard
order,pluginsGLPI,order
pdf,yllen,pdf
printercounters,InfotelGLPI,printercounters
reports,yllen,reports
statecheck,ericferon,glpi-statecheck
treeview,pluginsGLPI,treeview
typology,InfotelGLPI,typology
vip,InfotelGLPI,vip
